:START_ID(restaurants),:END_ID(cities)
Dy91wdWkwtI_qgjAIZ0Niw,0
_Oksx3ALgKLRVxeAR8l_qA,0
_NhT0A3LUEd75L_cEXf2_A,0
A_-Vv5oKZNqxsV69_7E2KQ,0
JNH-hcySeuGmtI_t8dG3Dw,0
ekBvLA43oEWEswUXZI0bYQ,0
5R6YO6K9PkthkTbXqV9slQ,0
iXemjTj5TOByT1-cNTSaDw,1
5ODCsQbRdsFIWlypGF3iUw,0
s-7Q1GAQmB-Qsm_UwviHVA,2
59fWFpyDg01BTEH-Hh6jdw,3
YdpDpp130fxiX2DUdQLSqg,0
EROSyhoWNCUH53NrDrsHgQ,0
Vo4NZBtF3mr6EJitNnq-Wg,4
xNWueX3uZjmixQUkY38GzQ,0
sFtEbnWDtIADseyr8Lx6Qw,2
ulwns2OavT81v6zG-Sk6ng,2
B6zs6ywn7TfhOmmDtuWQkw,1
qmDm7guS7TAZTSDFYY2bug,0
SkWaAf50KiN2m0zXfnAuiA,5
D392vqhMjDPkHw1U8p66Uw,0
O1gJVygW6UVgKCpErmYZfw,0
ggJXlslLYndvE7n3hgJBCQ,0
CKKY7kxtznKVzm9FBzAL4w,0
Q4OTSH9DaoeqtYcg6qYtZg,0
OlOVRlcEstxKK_6hMjy63A,0
eNxh94Ogxwuomg7JsZu98w,1
o8JeOB8HTa5HYHg6hfqTHw,0
7Ld1DxAhSlGSateku0iqbg,0
7O7YHTUB3uqXHsQSLKR0SA,1
MZW_eTFYFBvHYg5OFqDRCA,0
i2qrXvLkhyG4xyRI-ddcZA,1
yDiWYpuzRxcTgSi_O4JZpQ,2
ThZyytdc_kj2uBYFiSao-A,2
uoMWvXch6sWnI9FMsE_-Vg,0
02kw1y-cUK5v_u5BaAQvjg,2
fCFUlCHG4spZ3O0vbqnYjA,0
LSxmfbgcZLdQ5ai2vf2nmA,1
psD0qpCK-iENFO9c8hmnkw,3
c4D851qxOujE5KTH8upXTA,1
5RtAJPXFLTzwALIe1mtNuA,0
xtbAqP_Ftb3kYJ53Hv6H5w,0
ZB2T9dwB4vhHPsJC_4eOnw,1
mtowE4p6gOgyGrHAsMz-rg,0
f9iPWhAeA_IKCF-aPcud1A,0
ccEgmgcc5uLJejser0UD0g,2
oS70RVt-RegY3Ts0hLASQA,2
N-_ilHVIMQqzkga7nHfA8A,0
VMiDHHR-JHgB4ZoVluxpLQ,0
ixsljpxu56VCTtayIELqUg,0
3zWNxtRhyR4rLPfXyQgSyw,0
XF86J5bJKkmueBL-PmPbcg,0
OGbdvZAvSZ30l8sde9GSwQ,0
wWcETNWBnFEi1J_W_9hXJA,0
DAcqRGI_u8yNCcUIczfNxA,6
gTM5c2B3X2nEvYg6Jlw_EA,0
k9W1gDPg4TziOTqY_xjTyQ,0
hFa7UxRZgJDQJ3UBhQsu9A,0
_BqPnypB6wPZRPbEqtKy6A,0
sKQ0KYon7eT6xEnCpb18aw,0
MmFNgQrsPrFWUx6Wr3KS1w,2
UZkuF34Plfao49I9dylzXg,0
iCfB58Cvb_rw_SDAgPXLfA,0
sTQZ6WHggp7pBnn7mW7y0w,3
citzbW-2MVEZRNBqpVO-Jw,0
jVJH1KfitQi87MYMh6vyMg,7
iJKOUYgigs4VYsWny6AtEA,0
W6S482dRQ_9nCcLjfv8VNg,0
XYoyLbHwbBJShaZltxsAYQ,1
7ELSYoA2CZx8UPSLrvhOXg,1
1Ye_elsSB-XjKgWAHDwPbw,2
fLeD_h6uD4yEN2ciI08RiA,0
JaHuWM3Tp1aG7NW66mhutw,2
5IFqqWJTaPNoY2ZgRlX73w,0
MTjS4g__WMgA-PPMjCL4fQ,2
19fHbf0qzihtEtXQZ2ntww,0
ScXJHSCceQao6K87VK199Q,0
8zJsbIVBXDoGaEmQNicjdg,0
Y4eaKcLP0hCIfvhknOT4uQ,0
5cvVmZYhYr1P0ot0ed2lJQ,0
oQcV39W4ApVURMAXd7qhzw,0
dsglOxl3QNlMzidRhZ4NWw,1
O7vMyd_Lg2-1DTW8VPFwcQ,2
8k3m4HBZB0h--N98bV4j8Q,1
VHJBGikBqXpdc6mc7qtQ8g,3
gdV2mdEGR_kPA9EW6r2Qeg,0
ilriW8ywq5HFs56Ux8pftw,0
hAV6BW2gfdtbDhxeBJUvIQ,0
MkYu8dMDQFX830cIqMo90Q,1
pp79bmyve2egmM1_9Rh9Fg,0
Z5gHx5r8Amn_LB4eNSJs_A,0
wlzn5BhVMS2Kz3BYcTZIRg,0
sHRfeIQg6FMhjKkiNfaLgw,0
fd_fNaeZxcZfUza3K6Be9w,5
N-EQ9UDuFHT9RyC1JFX5pQ,0
yQFHhWKAr2f8LNQvq-8NxQ,0
NBPOJO1QZE_65BM4qmQahQ,0
4VGEq2AHUw3uP2L51S8raw,0
XOOsIjiMVQYB3An7z89Mnw,0
TUU1mt51yasYH0QYwzKTEg,0
1C1zjPi4rYwgGr8kD-1pwA,0
QrCC-AbRjY8J0jw-aBcotQ,0
G01vpgoEWyYxESzZEij5sA,0
koYe0Xt78lAigCvFRiCw8w,1
yn57lTycvUvogODsFEyWVQ,0
LdGu5XlzAX0XalxAUMMdwA,0
tvlElS5cQ6YVEVOb34ujqQ,0
HurD0KDmuuHVNnh1lGb_OQ,0
cbfQNOgUYCu3Isfa6icYgQ,0
hrPLZ99KVPz_7yxZVfc9kA,1
E55sNGuWYTRlH3r6_5OlOg,0
hF-Ndu77yzspMkDZv9bWzg,0
uH_nXWJn51aHspawHb-GBA,0
41lJbk2WXU3R0GKDKxRFPA,1
H2HZ5Rz01L2xLzjJR8sQ-g,0
8vvMGaJ5biveUVE6-yTipQ,0
sTvFxzQU_4bm-owSJXx0MQ,4
p_iyQ6Mo33ZbGS5k5_bTng,2
qFsh80AAL90tkOc0n98bqg,0
-AxGGm4yvhedkmN1glW1Xw,1
jpEhAUyitrgwDatsgeBgXg,0
shIAkjO9IFa4yTM5EENPTQ,0
OpUoLGa5NwOzuPutIAa1vA,1
h3DUMo4oWyVQ9ZfGar6vPg,0
KnXW9AQKAlGmQ9AU_77B5Q,5
nrlYIT438hkDub2ifE8DHg,1
JQ__Ee1Uuw8bWUu8E2CjBQ,0
edFDP6O_R4n9BUXDMFqApw,3
VVqQvn29cQ2LZXJ_9rPa-g,0
uyXVm7lhbR26t5Jy20VYPg,1
Nvy1jETQItFjG0oyjpGk7w,0
AjxhKYSbc1NrGOxAcqxb9w,1
52RFRa6UlbIxy8EnWJQpjg,1
_ju1BXAF5g5QtAFfZZKO1g,4
IugPZVHmgdGvOmNVi07ueg,5
f4ykOH9Z-87b2l3Ea4HDPA,2
MIK2lBW3eFpPcy0vKxPS6w,1
FGPFf3cZ0djSKNXNDY8IqQ,0
sX_vxWQuZu_EA1bkCX95Yw,0
mtXTk0-IRTS8d0w16ihRPw,1
ucDPodtTLX7LHZnigGRa4Q,8
LwXkXDdsu1yWWcWAbt2fYw,0
Cv4QFI1gGGrgRSVnMU0qug,6
PHaAnZO3jkJeVaekf2zT4A,0
UtVv2dVuHqpaJqnRwismiA,0
Il3GDb6A7rGSYdt89Wb0Fw,0
QpQ8CxC14jnNOdb7B2R6zQ,0
CZ2KPQtt0ah0up00YK0Ypg,5
-eJJKj0ClOvumIYksYSdcQ,0
081vVr80-uscqGGaFAxKfQ,0
1DCPuF0_VZNLRvHEAVJJng,0
zUMbBbxlBY0_hbAclEwDmA,1
UXJEQycac7JKyyTVDjWBdA,1
HsCX4E7_k-XXS-1iTz17CA,0
W6Nc9Lt4n89sEBXqpCIGrA,5
Z_xbp4N5MDssZxdUohybTg,1
hBmWWvU6BSL6i_eYapOFGQ,9
YJgLVtH4IFzRTrlvTO2_Cw,0
G1M1OJmxp5dPY3rRYpl5WQ,1
jfv6PEdL5KchI-DGJlnbWQ,0
ExwZRGJcZ7eMfFalfQjhkg,0
w0RHRKHj9g2G3H5LcrOiKw,0
RzuUOVjXuyG9b8DctqAgFQ,2
ujUb29BOYcUyhMcnqo4bWA,1
Vy9VN70aRpIe4yEo55VrWQ,0
ULrDH5eEndkbALvYEBhrHw,0
2CCPRNXRO33sYuotGG7MqA,2
-ShzgoeH2nvGG_TlNfMz2w,1
t1KiSVmxADW1LaxA2Wtj9g,0
jrNAkn21Tjq3n9v2n3m46g,0
uAlZsR2u3sArs6vuuHl0mQ,2
0XXZSQpSbcbL1i4iK-Ohiw,3
QfaobFtkXhyTirLQLkV82w,1
2ojUHZ_5H8_S0vh-rXpPfA,1
b8yPm2F9dHjJLu5NF-lneA,0
k93U5RS4ohNqk9912QcyOw,1
gfIj5FvIejEiex4WV04wIQ,0
e1o-2If3E-OY2A_yvamrIQ,0
Pn9_MnhoLrMFdW3AZDORMQ,0
MyNFSdduvVnfeJu5sQfFLg,2
hZVzFdmKqFDPHleovfGnPA,0
H0tVJV7M5lb0bE5vDZd6KQ,0
OJUTu1PAPjljZBwtI5DUdg,0
W_M-QaSW2y2JfUDRfOZ4-Q,0
