,restaurant_id,ambience_id
0,Dy91wdWkwtI_qgjAIZ0Niw,0
0,_Oksx3ALgKLRVxeAR8l_qA,7
0,A_-Vv5oKZNqxsV69_7E2KQ,4
1,A_-Vv5oKZNqxsV69_7E2KQ,7
2,A_-Vv5oKZNqxsV69_7E2KQ,2
0,5R6YO6K9PkthkTbXqV9slQ,2
1,5R6YO6K9PkthkTbXqV9slQ,7
0,iXemjTj5TOByT1-cNTSaDw,2
1,iXemjTj5TOByT1-cNTSaDw,7
0,5ODCsQbRdsFIWlypGF3iUw,4
0,YdpDpp130fxiX2DUdQLSqg,7
0,EROSyhoWNCUH53NrDrsHgQ,2
0,SkWaAf50KiN2m0zXfnAuiA,2
0,CKKY7kxtznKVzm9FBzAL4w,7
0,OlOVRlcEstxKK_6hMjy63A,2
0,o8JeOB8HTa5HYHg6hfqTHw,0
0,7Ld1DxAhSlGSateku0iqbg,7
0,7O7YHTUB3uqXHsQSLKR0SA,2
0,MZW_eTFYFBvHYg5OFqDRCA,2
0,yDiWYpuzRxcTgSi_O4JZpQ,7
1,yDiWYpuzRxcTgSi_O4JZpQ,2
0,ThZyytdc_kj2uBYFiSao-A,2
0,uoMWvXch6sWnI9FMsE_-Vg,2
0,LSxmfbgcZLdQ5ai2vf2nmA,2
0,psD0qpCK-iENFO9c8hmnkw,2
0,5RtAJPXFLTzwALIe1mtNuA,4
1,5RtAJPXFLTzwALIe1mtNuA,2
0,mtowE4p6gOgyGrHAsMz-rg,2
0,oS70RVt-RegY3Ts0hLASQA,2
0,VMiDHHR-JHgB4ZoVluxpLQ,0
0,ixsljpxu56VCTtayIELqUg,2
0,OGbdvZAvSZ30l8sde9GSwQ,2
0,hFa7UxRZgJDQJ3UBhQsu9A,7
0,_BqPnypB6wPZRPbEqtKy6A,2
0,sKQ0KYon7eT6xEnCpb18aw,2
0,iCfB58Cvb_rw_SDAgPXLfA,2
0,citzbW-2MVEZRNBqpVO-Jw,2
0,jVJH1KfitQi87MYMh6vyMg,2
0,iJKOUYgigs4VYsWny6AtEA,2
0,W6S482dRQ_9nCcLjfv8VNg,2
0,1Ye_elsSB-XjKgWAHDwPbw,2
0,fLeD_h6uD4yEN2ciI08RiA,2
0,19fHbf0qzihtEtXQZ2ntww,7
0,Y4eaKcLP0hCIfvhknOT4uQ,2
0,oQcV39W4ApVURMAXd7qhzw,7
0,VHJBGikBqXpdc6mc7qtQ8g,2
0,fd_fNaeZxcZfUza3K6Be9w,2
0,4VGEq2AHUw3uP2L51S8raw,2
0,TUU1mt51yasYH0QYwzKTEg,2
0,G01vpgoEWyYxESzZEij5sA,2
0,koYe0Xt78lAigCvFRiCw8w,2
0,yn57lTycvUvogODsFEyWVQ,2
