restaurant_id:ID(restaurants),name,stars,review_count,price_range
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,4.0,23,1.0
_Oksx3ALgKLRVxeAR8l_qA,V-Trap Kitchen and Lounge,5.0,13,2.0
_NhT0A3LUEd75L_cEXf2_A,Season's Pizza,3.0,7,
A_-Vv5oKZNqxsV69_7E2KQ,8th & Union Kitchen,3.5,177,2.0
JNH-hcySeuGmtI_t8dG3Dw,Del Rose Cafe,4.0,8,2.0
ekBvLA43oEWEswUXZI0bYQ,Shawerma Palace,4.5,8,
5R6YO6K9PkthkTbXqV9slQ,Sakura Japanese Restaurant,4.0,86,2.0
iXemjTj5TOByT1-cNTSaDw,PureBread Deli,4.0,64,1.0
5ODCsQbRdsFIWlypGF3iUw,Brandywine Brewing Company Restaurant & Brewery,3.0,28,2.0
s-7Q1GAQmB-Qsm_UwviHVA,Lone Star Steakhouse,2.0,15,2.0
59fWFpyDg01BTEH-Hh6jdw,McDonald's,1.5,25,1.0
YdpDpp130fxiX2DUdQLSqg,Bardea Food & Drink,4.5,181,2.0
EROSyhoWNCUH53NrDrsHgQ,Mary's Kountry Kitchen,4.0,50,1.0
Vo4NZBtF3mr6EJitNnq-Wg,Pizzeria Maki,5.0,13,
xNWueX3uZjmixQUkY38GzQ,KFC,3.0,5,1.0
sFtEbnWDtIADseyr8Lx6Qw,Spice N' Nice,5.0,11,1.0
ulwns2OavT81v6zG-Sk6ng,Wawa,3.0,8,1.0
B6zs6ywn7TfhOmmDtuWQkw,Farm a Sea Bistro & Crafthouse,3.0,28,2.0
qmDm7guS7TAZTSDFYY2bug,Pizza Hut,1.5,45,1.0
SkWaAf50KiN2m0zXfnAuiA,Luigi's Cafe,4.5,63,2.0
D392vqhMjDPkHw1U8p66Uw,Maryland Avenue Sub Shop,4.0,15,1.0
O1gJVygW6UVgKCpErmYZfw,Subway Restaurants,2.5,7,1.0
ggJXlslLYndvE7n3hgJBCQ,Capital One 360 Café,4.0,5,1.0
CKKY7kxtznKVzm9FBzAL4w,Little Caesars Pizza,2.0,14,1.0
Q4OTSH9DaoeqtYcg6qYtZg,Subway,1.0,5,1.0
OlOVRlcEstxKK_6hMjy63A,Hollywood Grill,3.5,190,2.0
eNxh94Ogxwuomg7JsZu98w,Adda - Indian Grill,2.5,11,
o8JeOB8HTa5HYHg6hfqTHw,Walt's Chicken Express,4.0,51,1.0
7Ld1DxAhSlGSateku0iqbg,Ristorante Attilio,4.0,50,2.0
7O7YHTUB3uqXHsQSLKR0SA,El Jefe Restaurant & Mexican Grill,3.5,69,2.0
MZW_eTFYFBvHYg5OFqDRCA,Red Robin Gourmet Burgers and Brews,3.0,118,2.0
i2qrXvLkhyG4xyRI-ddcZA,Baja Fresh,2.5,17,1.0
yDiWYpuzRxcTgSi_O4JZpQ,Masala Kitchen,4.5,79,1.0
ThZyytdc_kj2uBYFiSao-A,Arner's Restaurant,2.0,57,2.0
uoMWvXch6sWnI9FMsE_-Vg,Cafe Napoli Restaurant & Pizzeria,4.0,114,2.0
02kw1y-cUK5v_u5BaAQvjg,Arby's,3.0,9,1.0
fCFUlCHG4spZ3O0vbqnYjA,Pat's Pizzeria,2.0,5,
LSxmfbgcZLdQ5ai2vf2nmA,Zaikka Indian Grill,3.5,69,1.0
psD0qpCK-iENFO9c8hmnkw,Famous Crab Cakes,3.5,37,2.0
c4D851qxOujE5KTH8upXTA,Wendy's,2.0,23,1.0
5RtAJPXFLTzwALIe1mtNuA,Piree's Piri Piri Grill,4.0,77,2.0
xtbAqP_Ftb3kYJ53Hv6H5w,Top China Buffet,2.5,5,
ZB2T9dwB4vhHPsJC_4eOnw,Nordstrom,4.0,24,3.0
mtowE4p6gOgyGrHAsMz-rg,Eeffoc Cafe,3.0,31,1.0
f9iPWhAeA_IKCF-aPcud1A,Philippine Bread House And Restaurant,3.5,7,2.0
ccEgmgcc5uLJejser0UD0g,New Castle Bagels & Deli,4.0,21,1.0
oS70RVt-RegY3Ts0hLASQA,Saap Lao Thai Cuisine,4.5,63,2.0
N-_ilHVIMQqzkga7nHfA8A,La Tonalteca,3.0,6,2.0
VMiDHHR-JHgB4ZoVluxpLQ,La Tolteca,3.0,6,1.0
ixsljpxu56VCTtayIELqUg,Tokyo Sushi,3.5,17,2.0
3zWNxtRhyR4rLPfXyQgSyw,Wawa,3.0,10,1.0
