reviews_id:ID(reviews),stars,useful,cool
2xlNGuN8naQTHO3_xY0lGw,5,0,0
_Dkml_CfMMb_wWeGpFtczg,1,0,0
EmLTCw2p9BhOwnzHFXgGaQ,3,0,0
PlYifdeyiixRZkymbUNqVQ,5,1,0
PtUd264rjqWuEzL89nf64w,5,0,0
jh63cU95B-Kjgyev_a_4oQ,3,0,0
2DUxwJgRW1Ds_EN763CiQQ,4,7,0
lV_V_FklhhmMaWRXAB_tyA,5,2,0
OaYClWZ3UyrAWo60tGCVsg,4,3,0
TM1PkkUDSMpb0ijfePRmBQ,4,1,0
sw_4E8mRaRFjU-oCcWvfDQ,5,0,0
_Xc59GTigWeEudLbRulLtw,1,0,0
1WFRWOUQjfl0R2eH6veBnQ,1,0,0
F7Ij517v1icGKajQN6IahQ,1,2,1
ZLVPEj5TNyYDxRXH8JndKQ,4,1,0
jt7r04KKzpy4HKjFiuqBkA,5,0,0
50_IPMsBuclmeMme2r69Rw,3,0,0
BsxM-F-H6Rsq66R739BKxg,4,0,0
Je-DY6xJb3erto4rAAUAbA,3,0,0
TUmoUxxqYMhZfnOnB2QWxw,4,4,1
CzqjdvdDIscS7zgGVw7Zxg,4,0,0
NCFxVrkBeIrd4FaMiOYMjA,3,0,0
_CGKxv6za2tCtrKowjnkjQ,1,0,0
A5DNY8-D--lvnN3kULVWCA,4,1,0
xIHgQqnqNXljZiS6qZlMZQ,5,3,0
gkS5Repk69a-DP_TMbgB_w,5,0,0
_iJVbGplMVHedz4OGhACrw,4,2,0
cIquDyNc744By2bHLxqfIA,1,0,0
TVLHNezslSkBMLkuJzCf-g,1,0,0
vnKQUkXOd1dJqNaE3v4slQ,4,0,2
GPq3wEvpcgL8RCNZ48e5dA,5,1,0
fQbAGJDA1NcY0eV5tVvyZA,2,0,0
SMMcnv0U52M5wHGbSIuLTw,4,0,0
-K-cKT1vqdxsULnt3NRtRQ,3,0,0
lboTi4ugxWmTX1xaQKro8A,1,0,0
Exn5AZNLWc0HRU9gxJHaBg,5,1,1
0LdQwsbjC42ZHZG58yL0JA,3,0,0
25vz0UD1XgpTR5equRyUAA,3,0,0
u-fVqF3HpFCyzrpeiGJeng,3,0,3
c8lthzBWwl5dm5OfwO9bMA,2,2,0
PAV43QBxO2X8AePfUgscpg,5,0,0
QZr0dkTX0k0X6YpQCOgaPQ,3,0,0
yQ9pbFecfJ4eRXKBZjL95A,5,0,0
3dQ6ck3RkzDHWEooW-zvWQ,4,0,0
OuGlpWIBI_mzcCfwrULuJA,1,2,0
uzlchCYjuV8GkEYeWSYp2Q,2,0,0
hIZK-bcZRf-dFNMOX6DcYw,3,1,0
Q-1gmuaJuVLdk6ZwDrRPSw,4,0,0
3ljSS0wDsgOiNNJM56MudQ,5,2,2
c8_fVHFkvUoPisI32bvpeA,4,0,0
XLSnt0_4_sGmkMZUqLVr0w,5,0,0
X7aG8rXpeKyWCI2a-Cq6qQ,3,0,0
jMbvmLdTYfppyWPpYAqguQ,4,0,0
wjfz5EwJP9wqrgaWmz1vcw,1,11,1
1gpg75fdwRnFIfRYvCNHUg,5,0,0
OgWFHwwTEEjkA2kDOsfB5g,5,1,1
zf41SC8-s0oV9x9BA-UAfw,4,3,1
FwNy19SsUVkAEeWFPk5W4g,5,1,1
Hn1bILyZiQuxqzBnQovBZg,2,9,1
eSQATTmmx1j09oMdTjLB5A,2,0,0
S1iYNFocF8VIrpJKJuaO4g,2,0,0
vnRINQnMlLLuuHi-f7LXPg,3,1,0
06tpFl3kflw7uMwm7JcUqA,4,0,0
k1dzukLvkRVY4m1IyhFisA,5,3,3
s4gwGjRZlTzw2UCi23yrlQ,4,0,0
gKZcu0TZQRjrhXV4UQFRTw,1,0,0
AEISsryhPRCQcePDFontYw,2,0,1
6LVz9uwaPpYSCMeSATeZwA,5,2,2
ZO1DR-_6pqcCUz4bn7hLuQ,5,0,0
CZ7HOlSaTwkasNXykVCWuQ,4,0,0
KoGDCvrrmlkSp4i_LdUIdw,4,1,0
mj_ib5wR-q26-ERRJ6GMnw,1,2,0
-iCWEdAZmHPKfejgwstmzg,5,0,0
OBzbrYnWZvJ4I2YVg-l6Vw,5,0,0
HPm28IFEOx9U4IK5KooD6w,4,0,0
Dln65UQjyQjVB3ztkA71Bg,4,1,0
jR6fNQiyuRtqHWPWdIsBwg,4,0,0
zFzJ0UyTVNzhWKBCAw7IBw,5,0,0
ddhUJgCAIcZ0_iZlQXssIQ,5,0,0
09kIN0IZOjkO38a6JbPPUQ,5,0,0
-kJqw8ptJ5ieoTVuHGdCLg,2,1,1
CuKycTo-4k69flfRxNBvYA,1,0,0
Q6w526J-USlXGJuS9yaIWA,5,0,0
F4VW4Gj8k38T6Lz3XcL__Q,1,0,0
z2yzTNrP30cHJjwd6FVRlA,1,0,0
-ENLRBoXnXi47LR5Meyu2A,5,2,0
_MqRyh1B3ASOeTzPPnb_CQ,3,0,0
iEw-UIkE8MH2PM8LUiWGgg,4,0,1
fWn57-J2aYpAD_LSSpOiaQ,1,1,0
DfcrexT5qGCI_Emt-cF4WA,4,1,0
