user_id:ID(users),name,review_count,fans
XLs_PhrJ7Qwn_RfgMM7Djw,Weili,90,1
IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,35
0juMoWXC7z4c7LgQP2s3sA,JR,199,9
FlhZYUEhfpfm0Ynxacftwg,Kate,94,6
PadmV2GEoA6mWpQUpPh7Ig,Monica,695,104
1-gnHNzZNbn8lFwYRF_CtA,Liz,112,36
UJEjJgi1xpmLR4b3J8fn2Q,Ken,341,35
7LmJ87EijrHcoYRu9WgoHg,Jack,1050,117
FH14lvoIAKhva9KVgvzKJw,Dylan,34,2
kLm3B6LeboEZWX_4otpILA,Izzat,1670,35
VFXKRVzEMbnsDcYFdwiiuA,Kent,1072,22
y5qEpAfJQaOjjG8ZJWrp6w,Jill,333,32
-tnodf38uCXjogMhZtcWxw,Matt,453,7
mZHk_DPbeUTQBZOBOyoqlA,Erin,280,28
GG0mFsEXb-02_dzFPqRV1Q,Mandy,754,57
nPJw7YpKgHE6fowxgl3l1A,Abbie,157,15
k_muz40jJaiY1PVga6NDXA,Louis,1070,64
ojxS1v-8nUvEEx4DlsPQrA,Kristin,655,34
SBpz4xJ8MnrzXOpWiETCyw,Joe,37,4
NNyr4wknApjc5nF9QOO2Mg,Melissa,186,39
cwChkLd3jcvmqrk5UfUGJw,Rock,93,1
FlXBpK_YZxLo27jcMdII1w,Mallory,1158,102
p3heVCnq3M0H2LMxIuuc5g,Andreas,1178,95
lT0jFHCIloX3bnF5eu0ERg,Mikey,262,44
rlDDkE6G-nMO-z0hNqekzA,Brad,1403,191
SNMkSpTy6buAfhKx6NSNJQ,Ted,84,2
KmUFaI21IQfQWajv3BrEgw,Timothy,79,4
EQSHAfMrLKqYK0zLx_01yw,Wayne,315,15
SdlozylmEKkBW910mGw1dQ,Michael,90,5
6Mv-qMJyxSokCu8YFM1o0A,Jason,202,48
CHeMEder5ijEoCPLWjto_Q,German,222,4
00njy47jpw8fW40DOcrEew,Paul,769,19
_BcWyKQL16ndpBdggh2kNA,Karen,4274,558
-NbeVN5tnwdyYAvdNkKMjw,Dominic,1101,193
HZRfI9weev2Vr_w0jPF8-Q,Martha,208,16
WDrVbBxsNZt-0ytEyUAaBg,Sarah,242,15
oi9hzJPnsf1BPdCn2wIClA,Carmella,328,20
owQqWfiEnsHGJIcrzDJ_Xw,Leah,115,4
DeqKbAFwcyeC5pvR-SereQ,Barry,277,22
